# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol), experimental reference (original or paper this value was taken from), calculated reference, text notes.,dG (TF),std (TF),dG (TF) lrc,lrc,lrc std,lrc diff,nr intst,nr waters,box length,diff,diff GAFF,functional group
mobley_1017962, CCCCCC(=O)OC, methyl hexanoate,-2.49,0.6,-3.3,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.65,0.05,-4.07,-0.42,0.02,1.58,15,666,28,1.16,0.81,carboxylic acid ester
mobley_1019269, CCCCO, butan-1-ol,-4.72,0.6,-3.23,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.08,0.08,-4.36,-0.28,0.02,0.36,11,667,28,0.64,1.49,primary alcohol
mobley_1034539, c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl," 1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",-3.04,0.1,-1.08,0.04, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.01,0.13,-3.98,-0.97,0.02,0.94,24,1212,34,0.03,1.96,aryl chloride
mobley_1036761, C1CCC(CC1)N, cyclohexanamine,-4.59,0.6,-3.95,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.57,0.08,-3.93,-0.36,0.01,0.66,13,667,28,1.02,0.64,primary amine
mobley_1046331, c1ccc(cc1)OC=O, phenyl formate,-3.82,0.6,-5.44,0.03," J. Peter Guthrie, unpublished data, as provided to D. Mobley 2007/2008, and as cited in 10.1021/jp0764384", 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.18,0.05,-4.57,-0.39,0.02,0.75,15,666,28,0.36,1.62,carboxylic acid ester
mobley_1075836, CCC(=O)OC, methyl propanoate,-2.93,0.6,-3.65,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.85,0.08,-3.11,-0.26,0.01,0.18,12,669,28,0.08,0.72,carboxylic acid ester
mobley_1079207, c1cc(cc(c1)Cl)Cl," 1,3-dichlorobenzene",-0.98,0.6,-0.11,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.62,0.04,-1.05,-0.43,0.01,0.07,14,751,29,0.36,0.87,aryl chloride
mobley_1107178, CCI, iodoethane,-0.74,0.6,-0.61,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.86,0.16,-1.17,-0.31,0.03,0.43,9,669,28,0.12,0.13,alkyl iodide
mobley_1139153, CC(C)CC(C)(C)C," 2,2,4-trimethylpentane",2.89,0.6,2.54,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",3.17,0.08,2.7,-0.47,0.02,0.19,14,666,28,0.28,0.35,alkane
mobley_1144156, CCOCC, ethoxyethane,-1.59,0.6,-0.62,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.92,0.06,-1.18,-0.26,0.01,0.41,11,669,28,0.67,0.97,dialkyl ether
mobley_1160109, C[C@@H]1CC[C@H](CC1=O)C(=C)C," (2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",-3.75,0.21,-3.34,0.03, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.87,0.06,-5.46,-0.59,0.02,1.71,17,750,29,1.12,0.41,ketone
